year,test,LEA,school,subject,proficiency
2017,SAGE,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,DRY CREEK SCHOOL,English Language Arts,0.74
2017,SAGE,ALPINE DISTRICT,BLACK RIDGE SCHOOL,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,RIVER ROCK SCHOOL,English Language Arts,0.72
2017,SAGE,ALPINE DISTRICT,SPRINGSIDE SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,SPRINGSIDE SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,RIVER ROCK SCHOOL,English Language Arts,0.68
2017,SAGE,ALPINE DISTRICT,BLACK RIDGE SCHOOL,English Language Arts,0.4
2017,SAGE,ALPINE DISTRICT,DRY CREEK SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,English Language Arts,0.35
2017,SAGE,ALPINE DISTRICT,RIVERVIEW SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,English Language Arts,0.27
2017,SAGE,ALPINE DISTRICT,SAGE HILLS SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,NORTH POINT SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,English Language Arts,0.67
2017,SAGE,ALPINE DISTRICT,RIDGELINE SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,HARVEST SCHOOL,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,FOX HOLLOW SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,FREEDOM SCHOOL,English Language Arts,0.6
2017,SAGE,ALPINE DISTRICT,PONY EXPRESS SCHOOL,English Language Arts,0.32
2017,SAGE,ALPINE DISTRICT,DEERFIELD SCHOOL,English Language Arts,0.58
2017,SAGE,ALPINE DISTRICT,WESTFIELD SCHOOL,English Language Arts,0.7
2017,SAGE,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,English Language Arts,0.6
2017,SAGE,ALPINE DISTRICT,GENEVA SCHOOL,Mathematics,0.43
2017,SAGE,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,English Language Arts,0.33
2017,SAGE,ALPINE DISTRICT,FOOTHILL SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,WINDSOR SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,WESTMORE SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,VINEYARD SCHOOL,English Language Arts,0.28
2017,SAGE,ALPINE DISTRICT,VALLEY VIEW SCHOOL,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,SUNCREST SCHOOL,English Language Arts,0.08
2017,SAGE,ALPINE DISTRICT,SHELLEY SCHOOL,English Language Arts,0.52
2017,SAGE,ALPINE DISTRICT,SHARON SCHOOL,English Language Arts,0.31
2017,SAGE,ALPINE DISTRICT,SEGO LILY SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,ROCKY MOUNTAIN SCHOOL,English Language Arts,0.52
2017,SAGE,ALPINE DISTRICT,MANILA SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,SCERA PARK SCHOOL,English Language Arts,0.49
2017,SAGE,ALPINE DISTRICT,OREM SCHOOL,English Language Arts,0.6
2017,SAGE,ALPINE DISTRICT,LINDON SCHOOL,English Language Arts,0.68
2017,SAGE,ALPINE DISTRICT,NORTHRIDGE SCHOOL,English Language Arts,0.36
2017,SAGE,ALPINE DISTRICT,MEADOW SCHOOL,English Language Arts,0.49
2017,SAGE,ALPINE DISTRICT,ORCHARD SCHOOL,English Language Arts,0.65
2017,SAGE,ALPINE DISTRICT,LEHI SCHOOL,English Language Arts,0.36
2017,SAGE,ALPINE DISTRICT,LEGACY SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,HILLCREST SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,HIGHLAND SCHOOL,English Language Arts,0.65
2017,SAGE,ALPINE DISTRICT,GROVECREST SCHOOL,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,GREENWOOD SCHOOL,English Language Arts,0.36
2017,SAGE,ALPINE DISTRICT,GENEVA SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,FORBES SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,EAGLECREST SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,CHERRY HILL SCHOOL,English Language Arts,0.36
2017,SAGE,ALPINE DISTRICT,CENTRAL SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,CEDAR RIDGE SCHOOL,English Language Arts,0.58
2017,SAGE,ALPINE DISTRICT,CASCADE SCHOOL,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,BONNEVILLE SCHOOL,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,BARRATT SCHOOL,English Language Arts,0.35
2017,SAGE,ALPINE DISTRICT,ASPEN SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,ALPINE SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,ALPINE SCHOOL,English Language Arts,0.69
2017,SAGE,ALPINE DISTRICT,ASPEN SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,BARRATT SCHOOL,English Language Arts,0.6
2017,SAGE,ALPINE DISTRICT,BONNEVILLE SCHOOL,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,CASCADE SCHOOL,English Language Arts,0.4
2017,SAGE,ALPINE DISTRICT,CEDAR RIDGE SCHOOL,English Language Arts,0.78
2017,SAGE,ALPINE DISTRICT,CENTRAL SCHOOL,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,CHERRY HILL SCHOOL,English Language Arts,0.31
2017,SAGE,ALPINE DISTRICT,EAGLECREST SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,FORBES SCHOOL,English Language Arts,0.72
2017,SAGE,ALPINE DISTRICT,GENEVA SCHOOL,English Language Arts,0.49
2017,SAGE,ALPINE DISTRICT,GREENWOOD SCHOOL,English Language Arts,0.4
2017,SAGE,ALPINE DISTRICT,GROVECREST SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,HIGHLAND SCHOOL,English Language Arts,0.62
2017,SAGE,ALPINE DISTRICT,HILLCREST SCHOOL,English Language Arts,0.33
2017,SAGE,ALPINE DISTRICT,LEGACY SCHOOL,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,LEHI SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,ORCHARD SCHOOL,English Language Arts,0.7
2017,SAGE,ALPINE DISTRICT,MEADOW SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,NORTHRIDGE SCHOOL,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,LINDON SCHOOL,English Language Arts,0.63
2017,SAGE,ALPINE DISTRICT,OREM SCHOOL,English Language Arts,0.61
2017,SAGE,ALPINE DISTRICT,SCERA PARK SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,MANILA SCHOOL,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,ROCKY MOUNTAIN SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,SEGO LILY SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,SHARON SCHOOL,English Language Arts,0.26
2017,SAGE,ALPINE DISTRICT,SHELLEY SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,SUNCREST SCHOOL,English Language Arts,0.18
2017,SAGE,ALPINE DISTRICT,VALLEY VIEW SCHOOL,English Language Arts,0.7
2017,SAGE,ALPINE DISTRICT,VINEYARD SCHOOL,English Language Arts,0.49
2017,SAGE,ALPINE DISTRICT,WESTMORE SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,WINDSOR SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,FOOTHILL SCHOOL,English Language Arts,0.66
2017,SAGE,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,English Language Arts,0.54
2017,SAGE,ALPINE DISTRICT,WESTFIELD SCHOOL,English Language Arts,0.66
2017,SAGE,ALPINE DISTRICT,DEERFIELD SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,PONY EXPRESS SCHOOL,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,FREEDOM SCHOOL,English Language Arts,0.66
2017,SAGE,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,English Language Arts,0.25
2017,SAGE,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,English Language Arts,0.67
2017,SAGE,ALPINE DISTRICT,FOX HOLLOW SCHOOL,English Language Arts,0.58
2017,SAGE,ALPINE DISTRICT,HARVEST SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,RIDGELINE SCHOOL,English Language Arts,0.62
2017,SAGE,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,NORTH POINT SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,SAGE HILLS SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,English Language Arts,0.32
2017,SAGE,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,RIVERVIEW SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,English Language Arts,0.53
2017,SAGE,ALPINE DISTRICT,DRY CREEK SCHOOL,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,BLACK RIDGE SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,RIVER ROCK SCHOOL,English Language Arts,0.71
2017,SAGE,ALPINE DISTRICT,SPRINGSIDE SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,SPRINGSIDE SCHOOL,English Language Arts,0.53
2017,SAGE,ALPINE DISTRICT,RIVER ROCK SCHOOL,English Language Arts,0.65
2017,SAGE,ALPINE DISTRICT,BLACK RIDGE SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,DRY CREEK SCHOOL,English Language Arts,0.42
2017,SAGE,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,RIVERVIEW SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,SAGE HILLS SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,NORTH POINT SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,RIDGELINE SCHOOL,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,HARVEST SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,FOX HOLLOW SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,English Language Arts,0.3
2017,SAGE,ALPINE DISTRICT,FREEDOM SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,GREENWOOD SCHOOL,Mathematics,0.59
2017,SAGE,ALPINE DISTRICT,PONY EXPRESS SCHOOL,English Language Arts,0.34
2017,SAGE,ALPINE DISTRICT,DEERFIELD SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,WESTFIELD SCHOOL,English Language Arts,0.61
2017,SAGE,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,English Language Arts,0.4
2017,SAGE,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,FOOTHILL SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,WINDSOR SCHOOL,English Language Arts,0.36
2017,SAGE,ALPINE DISTRICT,WESTMORE SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,VINEYARD SCHOOL,English Language Arts,0.42
2017,SAGE,ALPINE DISTRICT,VALLEY VIEW SCHOOL,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,SUNCREST SCHOOL,English Language Arts,0.35
2017,SAGE,ALPINE DISTRICT,SHELLEY SCHOOL,English Language Arts,0.52
2017,SAGE,ALPINE DISTRICT,SHARON SCHOOL,English Language Arts,0.19
2017,SAGE,ALPINE DISTRICT,SEGO LILY SCHOOL,English Language Arts,0.6
2017,SAGE,ALPINE DISTRICT,ROCKY MOUNTAIN SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,MANILA SCHOOL,English Language Arts,0.66
2017,SAGE,ALPINE DISTRICT,SCERA PARK SCHOOL,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,OREM SCHOOL,English Language Arts,0.61
2017,SAGE,ALPINE DISTRICT,LINDON SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,NORTHRIDGE SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,MEADOW SCHOOL,English Language Arts,0.42
2017,SAGE,ALPINE DISTRICT,ORCHARD SCHOOL,English Language Arts,0.62
2017,SAGE,ALPINE DISTRICT,LEHI SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,LEGACY SCHOOL,English Language Arts,0.53
2017,SAGE,ALPINE DISTRICT,HILLCREST SCHOOL,English Language Arts,0.6
2017,SAGE,ALPINE DISTRICT,HIGHLAND SCHOOL,English Language Arts,0.72
2017,SAGE,ALPINE DISTRICT,GROVECREST SCHOOL,English Language Arts,0.39
2017,SAGE,ALPINE DISTRICT,GREENWOOD SCHOOL,English Language Arts,0.52
2017,SAGE,ALPINE DISTRICT,GENEVA SCHOOL,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,FORBES SCHOOL,English Language Arts,0.61
2017,SAGE,ALPINE DISTRICT,EAGLECREST SCHOOL,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,CHERRY HILL SCHOOL,English Language Arts,0.32
2017,SAGE,ALPINE DISTRICT,CENTRAL SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,CEDAR RIDGE SCHOOL,English Language Arts,0.72
2017,SAGE,ALPINE DISTRICT,CASCADE SCHOOL,English Language Arts,0.52
2017,SAGE,ALPINE DISTRICT,BONNEVILLE SCHOOL,English Language Arts,0.35
2017,SAGE,ALPINE DISTRICT,BARRATT SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,ASPEN SCHOOL,English Language Arts,0.37
2017,SAGE,ALPINE DISTRICT,ALPINE SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,AMERICAN FORK JR HIGH,English Language Arts,0.58
2017,SAGE,ALPINE DISTRICT,CANYON VIEW JR HIGH,English Language Arts,0.54
2017,SAGE,ALPINE DISTRICT,LAKERIDGE JR HIGH,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,MOUNTAIN RIDGE JR HIGH,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,OAK CANYON JR HIGH,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,OREM JR HIGH,English Language Arts,0.42
2017,SAGE,ALPINE DISTRICT,PLEASANT GROVE JR HIGH,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,LEHI JR HIGH,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,TIMBERLINE MIDDLE,English Language Arts,0.65
2017,SAGE,ALPINE DISTRICT,WILLOWCREEK MIDDLE,English Language Arts,0.5
2017,SAGE,ALPINE DISTRICT,VISTA HEIGHTS MIDDLE,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,FRONTIER MIDDLE SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,FRONTIER MIDDLE SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,VISTA HEIGHTS MIDDLE,English Language Arts,0.4
2017,SAGE,ALPINE DISTRICT,WILLOWCREEK MIDDLE,English Language Arts,0.39
2017,SAGE,ALPINE DISTRICT,TIMBERLINE MIDDLE,English Language Arts,0.61
2017,SAGE,ALPINE DISTRICT,LEHI JR HIGH,English Language Arts,0.49
2017,SAGE,ALPINE DISTRICT,PLEASANT GROVE JR HIGH,English Language Arts,0.42
2017,SAGE,ALPINE DISTRICT,OREM JR HIGH,English Language Arts,0.37
2017,SAGE,ALPINE DISTRICT,OAK CANYON JR HIGH,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,MOUNTAIN RIDGE JR HIGH,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,LAKERIDGE JR HIGH,English Language Arts,0.69
2017,SAGE,ALPINE DISTRICT,CANYON VIEW JR HIGH,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,AMERICAN FORK JR HIGH,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,AMERICAN FORK JR HIGH,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,CANYON VIEW JR HIGH,English Language Arts,0.54
2017,SAGE,ALPINE DISTRICT,LAKERIDGE JR HIGH,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,MOUNTAIN RIDGE JR HIGH,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,OAK CANYON JR HIGH,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,OREM JR HIGH,English Language Arts,0.36
2017,SAGE,ALPINE DISTRICT,PLEASANT GROVE JR HIGH,English Language Arts,0.52
2017,SAGE,ALPINE DISTRICT,TIMBERLINE MIDDLE,English Language Arts,0.6
2017,SAGE,ALPINE DISTRICT,WILLOWCREEK MIDDLE,English Language Arts,0.35
2017,SAGE,ALPINE DISTRICT,VISTA HEIGHTS MIDDLE,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,FRONTIER MIDDLE SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,WESTLAKE HIGH,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,AMERICAN FORK HIGH,English Language Arts,0.54
2017,SAGE,ALPINE DISTRICT,LEHI HIGH,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,LONE PEAK HIGH,English Language Arts,0.49
2017,SAGE,ALPINE DISTRICT,OREM HIGH,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,MOUNTAIN VIEW HIGH,English Language Arts,0.6
2017,SAGE,ALPINE DISTRICT,PLEASANT GROVE HIGH,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,TIMPANOGOS HIGH,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,WESTMORE SCHOOL,Mathematics,0.46
2017,SAGE,ALPINE DISTRICT,WINDSOR SCHOOL,Mathematics,0.26
2017,SAGE,ALPINE DISTRICT,FOOTHILL SCHOOL,Mathematics,0.7
2017,SAGE,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,Mathematics,0.49
2017,SAGE,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,Mathematics,0.65
2017,SAGE,ALPINE DISTRICT,WESTFIELD SCHOOL,Mathematics,0.54
2017,SAGE,ALPINE DISTRICT,DEERFIELD SCHOOL,Mathematics,0.47
2017,SAGE,ALPINE DISTRICT,PONY EXPRESS SCHOOL,Mathematics,0.31
